评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5566972209,烦死了怎么想用的昵称都被占了,女,重庆,870,168,141,千金！ 假妈妈觉得你能来奥运就很惊喜了，放开滑就好！,55,2022-02-03 17:25 
https://weibo.cn//u/5969679464,大哥的假粉丝儿不是红嫁衣,女,其他,757,328,2591,套娃天团是真的强，千金好高贵优雅啊，真的很像真千金,44,2022-02-03 17:26 
https://weibo.cn//u/7498468080,unstoable,女,江苏,206,354,12,俄罗斯这三人都挺强 感觉能垄断金银铜,31,2022-02-03 17:26 
https://weibo.cn//u/2626739923,苦练七十二变笑对八十一难,男,天津,2235,136,1669,回复@unstoable:不出意外,0,2022/2/3 22:03
https://weibo.cn//u/2626739923,苦练七十二变笑对八十一难,男,天津,2235,136,1669,有三娃，别娃只能争第四。,0,2022/2/3 22:03
https://weibo.cn//577227955,寂寞一直永远,男,山东,5504,1077,6993,北京冬奥，俄罗斯代表团还是被禁国旗？还是解除禁令了,0,2022/2/3 21:42
https://weibo.cn//234106208,May薇_1307_养乐多,女,广东,93687,450,1万,三娃加油,1,2022-02-03 21:24 
https://weibo.cn//u/7552373506,不加糖的果汁在努力,女,河南,690,89,13,莎莎宝贝加油,1,2022-02-03 20:37 
https://weibo.cn//u/7572285161,爱冒险的车厘子,男,广东,259,249,594,最爱莎莎,0,2022-02-03 20:34 
https://weibo.cn//u/3681915770,阿豆丁life,男,吉林,366,294,733,k宝冲冲冲,1,2022-02-03 20:29 
https://weibo.cn//u/3002852157,非常小小喜爱的,女,河北,1017,67,253,哇,0,2022-02-03 20:29 
评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5566972209,烦死了怎么想用的昵称都被占了,女,重庆,870,168,141,千金！ 假妈妈觉得你能来奥运就很惊喜了，放开滑就好！,55,2022-02-03 17:25 
https://weibo.cn//u/5969679464,大哥的假粉丝儿不是红嫁衣,女,其他,757,328,2591,套娃天团是真的强，千金好高贵优雅啊，真的很像真千金,44,2022-02-03 17:26 
https://weibo.cn//u/7498468080,unstoable,女,江苏,206,354,12,俄罗斯这三人都挺强 感觉能垄断金银铜,31,2022-02-03 17:26 
https://weibo.cn//u/2626739923,苦练七十二变笑对八十一难,男,天津,2235,136,1669,回复@unstoable:不出意外,0,2022/2/3 22:03
https://weibo.cn//u/2626739923,苦练七十二变笑对八十一难,男,天津,2235,136,1669,有三娃，别娃只能争第四。,0,2022/2/3 22:03
https://weibo.cn//577227955,寂寞一直永远,男,山东,5504,1077,6993,北京冬奥，俄罗斯代表团还是被禁国旗？还是解除禁令了,0,2022/2/3 21:41
https://weibo.cn//234106208,May薇_1307_养乐多,女,广东,93687,450,1万,三娃加油,1,2022-02-03 21:24 
https://weibo.cn//u/7552373506,不加糖的果汁在努力,女,河南,690,89,13,莎莎宝贝加油,1,2022-02-03 20:37 
https://weibo.cn//u/7572285161,爱冒险的车厘子,男,广东,259,249,594,最爱莎莎,0,2022-02-03 20:34 
https://weibo.cn//u/3681915770,阿豆丁life,男,吉林,366,294,733,k宝冲冲冲,1,2022-02-03 20:29 
https://weibo.cn//u/3002852157,非常小小喜爱的,女,河北,1017,67,253,哇,0,2022-02-03 20:29 
https://weibo.cn//339247000,my1ning,男,广西,2530,158,2158,又美又厉害！,0,2022-02-03 20:15 
https://weibo.cn//u/7633348985,盛满世间形色匆匆,女,北京,1862,197,124,加油！,0,2022-02-03 19:56 
https://weibo.cn//u/7478960354,川乐苦子,女,其他,1697,578,214,都是美女,0,2022-02-03 19:47 
https://weibo.cn//u/1353014753,米兰的玲珑,女,山东,3797,202,327,确实兼备了美貌与实力,0,2022-02-03 19:47 
https://weibo.cn//jayne99,·FIYA·,女,其他,9750,444,7548,好美,0,2022-02-03 19:44 
https://weibo.cn//weixiao2009,狂野塞伦盖蒂,男,北京,4092,259,406,我就是来看精彩冰舞的……,0,2022-02-03 19:41 
https://weibo.cn//u/3995702312,正版唱篱歌的船儿,男,重庆,5727,697,276,千金加油,1,2022-02-03 19:35 
https://weibo.cn//u/7103087088,如来神掌865,男,其他,47,86,1,加油,0,2022-02-03 19:32 
https://weibo.cn//u/1713556997,楚楚动人的三妮儿,女,辽宁,2493,586,195,     举报             赞[0]         回复             今天 19:17 来自网页,0,2022-02-03 19:17 
https://weibo.cn//u/2762725135,鸡蛋花饼,女,广东,4434,902,102,期待啊啊啊,0,2022-02-03 19:15 
https://weibo.cn//u/5486700081,吃不胖的小妞噢耶VV,女,河南,8793,5326,531,加油,0,2022-02-03 19:15 
https://weibo.cn//u/7716005006,雅垄美食汇,女,西藏,120,184,339,套娃天团加油,0,2022-02-03 19:06 
https://weibo.cn//u/5787059341,正版居不易,女,安徽,394,183,41,莎莎加油！好好滑就好！,0,2022-02-03 19:02 
https://weibo.cn//u/5820077563,tony环通,男,广东,319,330,27,中间那个绝对是冠军！,0,2022-02-03 18:59 
https://weibo.cn//u/7721360610,璀璨语言,女,广东,0,1,1,     举报             赞[0]         回复             今天 18:55 来自网页,0,2022-02-03 18:55 
https://weibo.cn//lingruxieyuliguang,海城璃光,男,重庆,1490,244,69,这两天刷到她们的视频，好厉害好漂亮，像仙女,0,2022-02-03 18:53 
https://weibo.cn//u/2269741133,NameIsEva,女,上海,2338,301,279,啊啊啊啊啊啊三娃冲啊啊啊啊啊啊//,0,2022-02-03 18:52 
https://weibo.cn//u/6381807349,Grace不想秃,女,上海,591,456,225,千金加油！！享受比赛,0,2022-02-03 18:50 
https://weibo.cn//u/3980935084,五无同学,男,河南,382,292,320,梅德韦杰娃！！！！,0,2022-02-03 18:49 
https://weibo.cn//u/7730816571,做新平气和,女,其他,9,74,1,花滑！我喜欢,0,2022-02-03 18:47 
https://weibo.cn//u/7552428961,gloriousgiveme,女,其他,19,23,2,千金加油！！,0,2022-02-03 18:46 
https://weibo.cn//u/7440060023,虎-头虎-脑,男,重庆,9,56,11,真漂亮啊！,0,2022-02-03 18:36 
https://weibo.cn//u/2486092395,老铁2017-,女,吉林,108,203,80,回复@烦死了怎么想用的昵称都被占了:记得几年前看她的采访视频，她好像还说可能不会参加22年冬奥会来着，这次来了对我来说确实是个惊喜,1,2022-02-03 18:28 
https://weibo.cn//u/3894419020,愛吃萝卜葉葉的毛毛蟲,男,北京,639,53,572,我也喜欢俄罗斯花滑女运动员,0,2022-02-03 18:27 
https://weibo.cn//u/5227883115,森霓鲜,女,广东,2542,245,180,k宝莎莎千金加油,0,2022-02-03 18:25 
https://weibo.cn//u/7385746125,·爱情垂钓者·,女,四川,4752,4233,1.2万,莎莎加油,0,2022-02-03 18:23 
https://weibo.cn//u/5667664608,浅溟怎么还不出货,女,山东,1993,255,82,宝贝们加油！！,0,2022-02-03 18:21 
https://weibo.cn//u/5449748993,许一橙,女,湖南,2075,290,108,莎莎加油！！！,0,2022-02-03 18:19 
https://weibo.cn//u/6134442031,LI辰晨,女,河南,267,144,1694,好好看,2,2022-02-03 18:17 
